,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0006864990573376417,0.026199033483862877,0.0006011428195051849,0.024663174524903297
1,0.0005861969548277557,0.02398207038640976,0.0005606492632068694,0.02336943708360195
2,0.0005544908926822245,0.023184867575764656,0.0005380757502280176,0.02307743951678276
3,0.0005388298886828125,0.022788671776652336,0.0005459744133986533,0.02284807711839676
4,0.0005275620496831834,0.022510705515742302,0.0005144817405380309,0.022148972377181053
5,0.0005194471450522542,0.02234409935772419,0.0005115147214382887,0.022028377279639244
6,0.0005158568965271115,0.022252388298511505,0.0005096289678476751,0.021967021748423576
7,0.0005087918834760785,0.022112218663096428,0.0005038183880969882,0.021893275901675224
8,0.0005036477814428508,0.02198285609483719,0.00052766123553738,0.022545743733644485
9,0.0005004933918826282,0.0219098050147295,0.0005163789028301835,0.02199527621269226
10,0.0004974997718818486,0.021838078275322914,0.0005144171300344169,0.02217325009405613
11,0.0004953023744747043,0.021788690239191055,0.000493170227855444,0.021665114909410477
12,0.0004909401759505272,0.021710464730858803,0.0005023768171668053,0.021644122898578644
13,0.0004883614019490778,0.02164936251938343,0.0005166893824934959,0.022010263055562973
14,0.00048470840556547046,0.02160491794347763,0.0005040261894464493,0.021659037098288536
15,0.0004823941271752119,0.021552221849560738,0.00048519595293328166,0.021498113870620728
16,0.0004798880545422435,0.021525336429476738,0.0004942006198689342,0.021487265825271606
17,0.0004775257839355618,0.021502891555428505,0.0004932200536131859,0.021791500970721245
18,0.0004749026848003268,0.021441955119371414,0.0004986638086847961,0.021426476538181305
19,0.0004727640189230442,0.021409837529063225,0.000489714730065316,0.021377315744757652
20,0.0004703299200627953,0.0213429294526577,0.0004980153171345592,0.021781915798783302
21,0.0004680116835515946,0.021328788250684738,0.0004888426046818495,0.021596241742372513
22,0.00046537673915736377,0.021282155066728592,0.0005015741917304695,0.0219340231269598
23,0.00046372192446142435,0.021266436204314232,0.0004980883095413446,0.021731441840529442
24,0.0004623818676918745,0.021248117089271545,0.000510953483171761,0.021958155557513237
25,0.0004602348490152508,0.0211869478225708,0.0004878373583778739,0.021350877359509468
26,0.0004564717528410256,0.02114344760775566,0.0004975906922481954,0.02132330648601055
27,0.000454677123343572,0.02113124169409275,0.0004849744727835059,0.021478844806551933
28,0.000452556210802868,0.02109323814511299,0.0004887075629085302,0.02144196815788746
29,0.00044980610255151987,0.02105485089123249,0.0004938930505886674,0.021495237946510315
